"","mean","std","mode","std/mean","max","min","attack","file"
"724",92.4,0.141421356237309,92.5,0.00153053415841243,92.5,92.2,2,"bis_limpio_21-06.csv"
"725",91.6,0.529150262212916,91.7,0.00577674958747725,92.1,90.7,2,"bis_limpio_21-06.csv"
"726",89.06,0.328633534503097,89,0.00369002396702332,89.6,88.7,2,"bis_limpio_21-06.csv"
"727",88.46,0.646529195009785,87.6,0.00730871800824988,89.1,87.6,2,"bis_limpio_21-06.csv"
"728",89.68,0.637965516309462,89.6,0.00711379924519918,90.3,88.7,2,"bis_limpio_21-06.csv"
"729",90.08,0.589067059000929,90.2,0.00653937676510801,90.7,89.1,2,"bis_limpio_21-06.csv"
"730",90.48,0.396232255123176,89.9,0.00437922474716154,91,89.9,2,"bis_limpio_21-06.csv"
"731",89.68,0.843800924389159,90.5,0.0094090201203073,90.5,88.5,2,"bis_limpio_21-06.csv"
"732",89.94,0.912688336728371,89,0.0101477466836599,91.1,89,2,"bis_limpio_21-06.csv"
"733",92.26,1.11713920350151,92.6,0.0121085974799644,93.4,90.4,2,"bis_limpio_21-06.csv"
"734",93.06,0.472228758124706,93.4,0.00507445474021821,93.4,92.3,2,"bis_limpio_21-06.csv"
"735",91.84,0.444971909225742,91.9,0.00484507740881687,92.5,91.3,2,"bis_limpio_21-06.csv"
"736",91.48,0.687022561492704,92.1,0.00751008484360193,92.3,90.7,2,"bis_limpio_21-06.csv"
"737",89.72,0.914877040918613,89,0.0101970245309698,91.1,88.8,2,"bis_limpio_21-06.csv"
"738",93.32,0.889943818451476,94.1,0.00953647469407926,94.1,92,2,"bis_limpio_21-06.csv"
"739",94.26,0.0894427190999929,94.3,0.000948893688733215,94.3,94.1,2,"bis_limpio_21-06.csv"
"740",93.86,0.250998007960223,93.6,0.00267417438696168,94.1,93.6,2,"bis_limpio_21-06.csv"
"741",93.76,0.343511280746352,93.9,0.00366372953014454,94.1,93.2,2,"bis_limpio_21-06.csv"
"742",94.22,0.311448230047945,93.9,0.00330554266660948,94.6,93.9,2,"bis_limpio_21-06.csv"
"743",94.12,0.389871773792364,94.4,0.00414228403944288,94.4,93.6,2,"bis_limpio_21-06.csv"
"744",92.84,0.746993975879325,92.3,0.00804603593148777,93.8,92.3,2,"bis_limpio_21-06.csv"
"745",89.66,2.36389509073478,92.3,0.0263651025065222,92.3,86.9,2,"bis_limpio_21-06.csv"
"746",89.74,1.73002890149269,87.7,0.0192782360317884,92,87.7,2,"bis_limpio_21-06.csv"
"747",97.66,0.0547722557505213,97.7,0.000560846362385022,97.7,97.6,0,"bis_limpio_23-06.csv"
"748",97.42,0.0836660026534079,97.5,0.00085881751851168,97.5,97.3,0,"bis_limpio_23-06.csv"
"749",97.18,0.0836660026534096,97.2,0.000860938492008743,97.3,97.1,0,"bis_limpio_23-06.csv"
"750",96.88,0.109544511501035,96.8,0.00113072369427162,97,96.8,0,"bis_limpio_23-06.csv"
"751",96.44,0.25099800796022,96.5,0.00260263384446516,96.8,96.2,0,"bis_limpio_23-06.csv"
"752",95.98,0.148323969741914,96,0.00154536330216623,96.2,95.8,0,"bis_limpio_23-06.csv"
"753",95.78,0.130384048104057,95.9,0.00136128678329565,95.9,95.6,0,"bis_limpio_23-06.csv"
"754",95.44,0.167332005306811,95.6,0.00175326912517614,95.6,95.2,0,"bis_limpio_23-06.csv"
"755",94.36,0.497995983919554,94.7,0.00527761746417501,94.7,93.6,0,"bis_limpio_23-06.csv"
"756",94.08,0.268328157299972,93.9,0.00285212752232113,94.5,93.9,0,"bis_limpio_23-06.csv"
"757",92.36,0.928977932999487,93.6,0.0100582279449923,93.6,91.1,0,"bis_limpio_23-06.csv"
"758",90.56,0.409878030638382,90.7,0.00452603832418708,91,89.9,1,"bis_limpio_23-06.csv"
"759",90.54,0.850294066779252,89.9,0.00939136367107634,91.7,89.9,1,"bis_limpio_23-06.csv"
"760",89.52,0.8555699854483,89.1,0.00955730546747431,90.7,88.6,1,"bis_limpio_23-06.csv"
"761",89.68,0.228035085019829,89.9,0.00254276410593029,89.9,89.4,1,"bis_limpio_23-06.csv"
"762",91.12,0.54037024344425,91.5,0.00593031434859801,91.5,90.2,1,"bis_limpio_23-06.csv"
"763",90.76,0.415932686861707,91.2,0.00458277530698223,91.2,90.2,1,"bis_limpio_23-06.csv"
"764",90.4,0.24494897427832,90.5,0.00270961254732655,90.7,90.1,1,"bis_limpio_23-06.csv"
"765",89.52,0.526307894677629,90.3,0.00587922134358388,90.3,89,1,"bis_limpio_23-06.csv"
"766",89.5,0.212132034355964,89.7,0.0023701903279996,89.7,89.2,1,"bis_limpio_23-06.csv"
"767",89.62,0.531036721894072,89.6,0.00592542648844089,90.4,89,1,"bis_limpio_23-06.csv"
"768",91.02,0.414728827066554,90.7,0.00455645821870527,91.7,90.7,1,"bis_limpio_23-06.csv"
"769",92.6,0.561248608016093,92,0.00606100008656688,93.4,92,1,"bis_limpio_23-06.csv"
"770",93.9,0.23452078799117,93.8,0.00249755897754175,94.3,93.7,1,"bis_limpio_23-06.csv"
"771",94.2,0.380788655293196,94.2,0.00404234241287894,94.7,93.7,1,"bis_limpio_23-06.csv"
"772",93.48,0.192353840616712,93.4,0.00205770047728618,93.7,93.2,1,"bis_limpio_23-06.csv"
"773",93.62,0.258843582110896,93.4,0.00276483210970836,93.9,93.4,1,"bis_limpio_23-06.csv"
"774",93.32,0.389871773792358,93.5,0.00417779440411871,93.7,92.7,1,"bis_limpio_23-06.csv"
"775",91.72,1.14978258814439,93.7,0.0125357892296597,93.7,90.7,1,"bis_limpio_23-06.csv"
"776",91.2,0.946044396421224,91.1,0.0103732938204082,92.8,90.4,1,"bis_limpio_23-06.csv"
"777",92.76,0.134164078649986,92.7,0.00144635703589894,93,92.7,1,"bis_limpio_23-06.csv"
"778",93.92,0.840832920383114,92.7,0.00895265034479465,94.8,92.7,1,"bis_limpio_23-06.csv"
"779",95.3,0.469041575982343,95.8,0.00492173741849258,95.8,94.8,0,"bis_limpio_23-06.csv"
